0.11428,0.11539,0.11062,0.10762,0.13502,0.21731,0.22714,0.18988,0.17598,0.17699,0.2039,0.19862,0.21892,0.32128,0.44885,0.61301
0.16368,0.16295,0.14739,0.11675,0.10264,0.086789,0.079499,0.07454,0.077767,0.085235,0.10391,0.11192,0.1236,0.16555,0.20342,0.22259
0.1189,0.11798,0.12065,0.14243,0.22348,0.42726,0.61398,0.65685,0.58177,0.49504,0.37354,0.28558,0.25061,0.23301,0.24175,0.26872
0.15201,0.15796,0.16083,0.17034,0.19261,0.19655,0.17274,0.15526,0.14499,0.1362,0.12367,0.10644,0.10653,0.11351,0.12741,0.13769
0.40635,0.51801,0.52011,0.52757,0.54152,0.54646,0.56205,0.55981,0.57597,0.5793,0.57357,0.568,0.56507,0.56146,0.56006,0.55671
0.34803,0.4189,0.42897,0.439,0.45161,0.45137,0.43378,0.39203,0.32673,0.28454,0.2554,0.23749,0.23349,0.24101,0.24099,0.22259
0.35202,0.40173,0.3837,0.35752,0.34117,0.29995,0.27038,0.23351,0.26645,0.31476,0.43348,0.47497,0.48401,0.48229,0.48175,0.47769
0.13747,0.13223,0.11829,0.09812,0.090533,0.08128,0.076772,0.07211,0.077066,0.087901,0.14551,0.22147,0.26737,0.29779,0.30133,0.27379
0.35178,0.42412,0.44166,0.49725,0.60507,0.75668,0.81507,0.80975,0.76367,0.707,0.60788,0.52457,0.48563,0.46379,0.47195,0.5023
0.20997,0.22115,0.21893,0.21475,0.22364,0.22499,0.22025,0.20793,0.19072,0.17549,0.1548,0.13686,0.13045,0.12626,0.12899,0.12954
0.43799,0.60878,0.60272,0.5967,0.59737,0.58611,0.61618,0.61199,0.72876,0.78047,0.78407,0.78211,0.78324,0.78233,0.78215,0.77962
0.1643,0.17575,0.19036,0.24127,0.35465,0.52591,0.5436,0.43914,0.30908,0.22192,0.14829,0.11897,0.11567,0.11796,0.13258,0.1489
0.43904,0.60281,0.60711,0.61669,0.6275,0.63929,0.71469,0.74405,0.76065,0.76487,0.76218,0.75909,0.75826,0.75825,0.7579,0.75503
