0.7317,0.48591,0.5634,0.57451,0.29646,0.6334,0.36723,0.4277,0.44729,0.1816,2.359,3.0485,2.7782,2.584,2.2099
0.88812,2.5181,1.1845,0.98432,2.5061,0.85754,1.6067,0.99746,0.80397,1.739,3.2271,13.101,3.6396,3.917,13.6
0.93411,1.0624,0.82546,0.75798,1.3436,0.86571,0.80997,0.59782,0.54718,1.0997,5.0366,16.366,3.5923,3.409,8.7921
1.4004,6.0663,1.5255,1.1557,2.8951,0.96381,5.2012,1.3343,0.93247,2.4729,5.8505,17.232,8.3915,7.8507,9.8218
0.90059,1.8797,1.0269,1.011,1.605,0.63131,1.5042,0.86683,0.81982,1.3871,4.5798,8.1483,3.8847,3.6384,6.7258
0.78575,0.57131,0.72523,0.71894,0.16842,0.62301,0.54573,0.52521,0.50723,0.080364,3.727,2.0364,4.0491,3.8955,1.3866
1.0059,1.2909,1.2024,1.1664,1.3085,0.68671,0.89346,1.0061,1.0183,0.9689,5.6737,11.519,4.3704,4.0987,5.368
1.6283,2.9148,1.3962,1.4738,1.9488,0.93818,2.3161,1.0442,1.0893,1.7289,12.612,11.031,6.9726,7.3342,8.5541
0.71933,0.91768,0.84118,0.85148,1.123,0.63342,0.7325,0.63631,0.6429,0.8959,2.6791,4.5942,3.425,3.3028,4.3883
0.74753,1.3677,1.4643,1.5389,1.4211,0.70669,1.0729,1.147,1.1917,1.0684,2.8749,6.047,5.653,6.2197,9.8248
0.78801,0.70022,0.7587,0.76305,0.24106,0.66179,0.51384,0.51976,0.51027,0.14497,3.4075,4.6303,4.4765,4.8341,2.1508
1.5023,2.0542,2.4221,2.4207,2.3485,1.2561,1.7934,2.1479,2.129,2.0093,7.6037,11.655,11.435,11.339,7.1937
0.78045,3.4761,2.2071,1.7308,2.0926,0.70574,2.4471,1.7674,1.3422,1.7902,3.1191,10.97,7.6838,6.7511,7.0787
0.83772,2.4675,1.2501,1.035,1.5035,0.78577,2.1278,1.0994,0.9165,1.3401,3.8338,10.009,4.36,3.5969,6.622
0.83849,3.6409,2.4227,1.8715,1.5534,0.67366,2.8249,1.7225,1.3493,1.2754,4.3935,12.232,8.2275,6.2922,5.9803
1.0368,0.72106,0.83378,0.83096,0.27204,0.69412,0.49038,0.60389,0.61698,0.13897,9.5781,5.2204,6.2573,5.7987,4.3048
