9.98,13.92,8.34,13.29,7.24,7.9,9.26,24.87
27.48,35.04,24.1,36.83,19.85,22.26,24.82,52.54
66.31,74.61,61.73,80.75,53.11,58.18,60.31,93.51
102.39,107.13,99.15,113.94,91.86,97.15,95.08,119.87
113.7,115.62,111.5,121.42,107.39,111.74,106.85,123.48
111.63,111.11,109.91,115.42,109.12,111.81,106.14,115.17
103.89,102.72,102.38,105.96,102.7,104.55,100.08,105.42
99.94,98.75,98.63,101.45,99.84,101.27,97.49,100.98
99.33,97.57,98.05,100.05,98.81,99.98,96.43,99.08
96.76,94.77,95.45,96.87,96.66,97.57,94.53,95.9
95.4,93.44,94.15,95.31,95.45,96.16,93.55,94.35
93.76,91.87,92.59,93.58,93.8,94.41,92.25,92.88
92.21,90.52,91.13,91.95,92.23,92.74,91.1,91.47
91.05,89.49,90.2,90.82,91.02,91.45,90.28,90.59
90.31,88.91,89.58,90.12,90.15,90.57,89.67,90.06
89.82,88.57,89.24,89.7,89.62,90.06,89.36,89.8
89.54,88.37,89.04,89.46,89.34,89.72,89.22,89.66
89.25,88.16,88.82,89.19,89.01,89.35,89.05,89.5
89,87.97,88.59,88.98,88.73,89.08,88.84,89.37
89.06,88.07,88.67,89.07,88.78,89.1,88.94,89.51
89.06,88.09,88.7,89.07,88.75,89.05,88.98,89.55
89.02,88.09,88.7,89.04,88.7,89.01,88.98,89.54
88.98,88.07,88.67,89.02,88.65,88.95,88.96,89.52
88.92,88.04,88.64,88.97,88.6,88.88,88.93,89.49
88.93,88.1,88.69,88.98,88.61,88.9,88.98,89.55
89.03,88.25,88.8,89.06,88.71,88.98,89.08,89.69
89.1,88.32,88.88,89.13,88.75,89,89.15,89.75
88.98,88.2,88.68,89,88.61,88.86,88.96,89.61
88.92,88.22,88.65,88.96,88.56,88.8,88.98,89.62
88.53,87.74,88.26,88.54,88.12,88.37,88.46,89.18
87.92,87.4,87.71,87.93,87.59,87.89,87.94,88.88
