68.68,61.7,57.27,54.47,50.89,38.97,31.99,24.88
78.27,79.4,78.06,77.48,75.18,69.6,62.22,53.48
82.52,88.61,90.16,92.15,91.95,97.83,95.14,90.16
84.33,91.63,94.15,97.05,97.78,108.83,111.25,111.53
84.65,91.6,93.92,96.79,97.5,108.65,111.94,113.61
84.01,89.09,90.6,92.89,93.31,101.63,104.9,106.72
83.46,87.18,88.05,89.83,89.93,95.71,98.14,99.26
83.52,86.44,86.97,88.32,88.19,92.69,94.6,95.32
83.63,86.14,86.44,87.99,87.74,91.47,93.16,93.81
83.66,85.72,85.75,87.16,86.83,89.57,90.77,91.15
83.77,85.62,85.53,86.88,86.54,88.75,89.72,89.68
83.91,85.53,85.31,86.6,86.15,87.76,88.42,87.89
83.8,85.29,84.93,86.27,85.78,86.87,87.1,86.29
83.75,85.2,84.76,86.15,85.63,86.32,86.29,85.08
83.57,85.09,84.52,86.05,85.48,85.99,85.75,84.2
83.38,85.03,84.32,86.09,85.44,85.74,85.15,83.3
83.17,84.99,84.14,86.18,85.47,85.64,84.74,82.48
82.87,84.86,83.9,86.19,85.47,85.56,84.69,82.42
82.47,84.68,83.58,86.2,85.51,85.54,84.64,82.33
82.32,84.73,83.5,86.38,85.7,85.68,84.72,82.37
82.09,84.67,83.31,86.47,85.76,85.71,84.62,81.98
81.97,84.63,83.23,86.59,85.85,85.81,84.72,82.14
81.93,84.68,83.24,86.77,86.08,86.12,85.39,83.28
81.98,84.75,83.31,86.9,86.26,86.41,86.1,84.49
82.24,84.96,83.52,87.08,86.48,86.68,86.55,85.29
82.78,85.33,83.95,87.34,86.76,86.94,86.78,85.62
83.39,85.7,84.42,87.55,86.98,87.09,86.88,85.73
83.95,85.98,84.8,87.61,87.06,87.1,86.77,85.58
85.11,86.48,85.54,87.85,87.25,87.15,86.74,85.48
85.46,86.61,85.75,87.65,87.03,86.9,86.29,85.07
86.3,86.96,86.19,87.69,87.05,86.68,85.99,84.66
