37.81,16.36,24.88,24.79,28,23.81
65.68,37.73,45.73,47.49,56.28,46.91
101.19,78.16,81.07,84.63,98.65,84.45
118.09,114.34,110.9,112.73,123.23,112.16
120.36,125.64,119.22,118.32,126.51,117.64
113.96,121.73,116.09,112.84,118.63,112.1
105.1,109.87,106.78,102.86,107.38,102.24
101.22,104.25,102.02,98.13,102.24,97.62
99.81,102.67,101.11,96.69,100.22,96.26
97.01,98.78,98.05,93.61,96.46,93.18
95.59,96.61,96.32,91.92,94.42,91.6
94.31,94.53,94.53,90.38,92.44,89.99
93.05,92.7,93.04,89,90.67,88.59
92.15,91.41,91.89,88.12,89.42,87.56
91.66,90.59,91.19,87.53,88.53,86.92
91.33,90.11,90.75,87.26,87.93,86.56
91.1,89.7,90.42,87.13,87.44,86.36
90.89,89.45,90.24,87.02,87.24,86.18
90.73,89.22,90.06,86.95,87.02,86.05
90.86,89.33,90.18,87.16,87.13,86.2
90.9,89.32,90.24,87.3,87.23,86.34
90.91,89.3,90.25,87.41,87.4,86.53
90.96,89.34,90.28,87.56,87.69,86.79
91.01,89.4,90.32,87.71,88.01,86.99
91.2,89.55,90.49,87.99,88.43,87.35
91.5,89.76,90.74,88.37,88.87,87.89
91.71,89.88,90.9,88.62,89.06,88.21
91.7,89.56,90.83,88.65,89,88.29
91.69,89.53,90.73,88.73,88.95,88.43
91.28,89.33,90.33,88.29,88.5,88.09
91.07,89.16,89.95,88.02,88.13,87.79
