0.138100	0.133400	0.127950	0.128100	0.136550	0.153850	0.184800	0.236150	0.309700	0.396600	0.469600	0.499950	0.487750	0.449150	0.395000	0.331400	0.270350	0.221550	0.184000	0.148900	0.113300	0.093250	0.087300	0.083150	0.080850	0.073050	0.054200	0.040350	0.038450	0.051000	0.093950	
0.529800	0.536750	0.553350	0.562900	0.572350	0.579900	0.588050	0.594300	0.593400	0.584250	0.575000	0.570300	0.571800	0.578800	0.595350	0.627350	0.673650	0.718800	0.748550	0.760550	0.765100	0.766050	0.769800	0.776450	0.788750	0.805500	0.822000	0.836800	0.846750	0.852550	0.857800	
0.153750	0.143000	0.134600	0.131500	0.135600	0.146750	0.164750	0.188750	0.209250	0.215500	0.207400	0.191550	0.174550	0.159350	0.148100	0.139300	0.130050	0.120800	0.114450	0.112400	0.111600	0.109550	0.106400	0.105900	0.113550	0.132650	0.165800	0.214850	0.277250	0.349050	0.423900	
0.429000	0.414450	0.407800	0.408250	0.421800	0.448500	0.495850	0.566500	0.651500	0.725800	0.771000	0.787100	0.788750	0.784950	0.776650	0.762000	0.742700	0.723950	0.704600	0.677100	0.634150	0.608700	0.609550	0.607150	0.603400	0.578100	0.507100	0.442850	0.432050	0.487000	0.610750	
0.042700	0.045600	0.050750	0.054050	0.055050	0.053350	0.049450	0.043300	0.037050	0.032350	0.029450	0.027400	0.026550	0.026350	0.027100	0.028850	0.031250	0.035350	0.043900	0.062950	0.094850	0.133700	0.167350	0.188300	0.201850	0.219400	0.248800	0.297300	0.368300	0.458050	0.558500	
0.334750	0.350150	0.363500	0.370950	0.371100	0.362300	0.346250	0.323700	0.299550	0.277600	0.257500	0.241950	0.233950	0.232100	0.233350	0.242200	0.266450	0.309300	0.363750	0.415100	0.450500	0.465550	0.469050	0.473350	0.490400	0.525750	0.575900	0.636650	0.695700	0.744250	0.781000	
0.361000	0.362600	0.363150	0.366450	0.376200	0.393700	0.420100	0.450400	0.473150	0.477850	0.466000	0.444150	0.419400	0.393050	0.368150	0.345150	0.321350	0.297200	0.274800	0.256200	0.239450	0.228450	0.223600	0.221300	0.227550	0.237100	0.231100	0.219300	0.227300	0.278600	0.390800	
0.445450	0.454150	0.466300	0.472400	0.477400	0.484850	0.496700	0.510750	0.523950	0.536200	0.547000	0.553900	0.554050	0.550400	0.547600	0.544500	0.538900	0.536200	0.541900	0.555400	0.568800	0.574400	0.575800	0.579100	0.595750	0.628850	0.673450	0.723200	0.765750	0.797300	0.820300	
0.096450	0.094700	0.093000	0.091700	0.091950	0.095150	0.101050	0.107750	0.114550	0.122250	0.129550	0.134450	0.135150	0.130050	0.121750	0.112800	0.102400	0.091150	0.081150	0.074850	0.070900	0.067850	0.065300	0.064950	0.070350	0.084350	0.109750	0.148950	0.201450	0.264300	0.331900	
0.073100	0.060300	0.053950	0.052250	0.056300	0.066800	0.088950	0.132250	0.209750	0.326300	0.468250	0.591550	0.655350	0.667300	0.647650	0.602150	0.545200	0.493800	0.449750	0.398150	0.332800	0.293950	0.289150	0.284150	0.275550	0.250900	0.193450	0.141350	0.126200	0.151000	0.232850	
