DataColor,98.026,106.91,116.66,117.32,124.98,133.23,139.45,141.69,88.918,100.3,109.58,111.61,114.64,124.14,132.48,138.58,84.684,95.21,100.82,102.22,103.97,122.63,128.48,133.05,135.29,138.89,130.02,132.09,147.86,132.02
ICM,95.838,107.89,117.16,116.69,124.37,136.02,142.67,144.31,87.376,98.661,111.48,111.05,112.85,122.37,132.57,138.44,84.761,96.246,103.47,103.01,105.91,121.95,129.99,134.62,136.12,137.34,127.38,132.07,145.48,130.5
